,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference,popup
7882,2/2/18,6:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,602,HGBD,19,52,2.74,33,hougang > bedok: 602
8001,2/2/18,6:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,806,HGAM,15,49,3.27,34,hougang > ang mo kio: 806
8103,2/2/18,6:00:00,HG,HOUGANG,103.8898,1.36364,TM,TAMPINES,103.95422,1.34373,566,HGTM,17,57,3.35,40,hougang > tampines: 566
8651,2/2/18,6:00:00,JE,JURONG EAST,103.73479,1.32044,BL,BOON LAY,103.70223,1.3148,722,JEBL,13,46,3.54,33,jurong east > boon lay: 722
8713,2/2/18,6:00:00,JE,JURONG EAST,103.73479,1.32044,TS,TUAS,103.63072,1.28389,1378,JETS,24,72,3,48,jurong east > tuas: 1378
9197,2/2/18,6:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,678,JWBK,17,57,3.35,40,jurong west > bukit batok: 678
9313,2/2/18,6:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,3113,JWPN,21,54,2.57,33,jurong west > pioneer: 3113
9335,2/2/18,6:00:00,JW,JURONG WEST,103.70487,1.3416,TS,TUAS,103.63072,1.28389,3696,JWTS,20,60,3,40,jurong west > tuas: 3696
9356,2/2/18,6:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,1405,JWQT,16,48,3,32,jurong west > queenstown: 1405
13658,2/2/18,6:00:00,PG,PUNGGOL,103.91004,1.40536,TM,TAMPINES,103.95422,1.34373,540,PGTM,12,46,3.83,34,punggol > tampines: 540
14545,2/2/18,6:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,1031,PRCH,6,50,8.33,44,pasir ris > changi: 1031
17361,2/2/18,6:00:00,SE,SENGKANG,103.8877,1.39127,TM,TAMPINES,103.95422,1.34373,547,SETM,17,55,3.24,38,sengkang > tampines: 547
17904,2/2/18,6:00:00,SG,SERANGOON,103.86782,1.3652,DT,DOWNTOWN CORE,103.8543,1.28508,516,SGDT,15,50,3.33,35,serangoon > downtown core: 516
18649,2/2/18,6:00:00,SK,SUNGEI KADUT,103.75747,1.41807,CH,CHANGI,103.99782,1.35081,594,SKCH,29,124,4.28,95,sungei kadut > changi: 594
18655,2/2/18,6:00:00,SK,SUNGEI KADUT,103.75747,1.41807,DT,DOWNTOWN CORE,103.8543,1.28508,571,SKDT,27,70,2.59,43,sungei kadut > downtown core: 571
19547,2/2/18,6:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,1577,TMCH,10,56,5.6,46,tampines > changi: 1577
19701,2/2/18,6:00:00,TM,TAMPINES,103.95422,1.34373,BM,BUKIT MERAH,103.82311,1.27548,679,TMBM,19,60,3.16,41,tampines > bukit merah: 679
19739,2/2/18,6:00:00,TM,TAMPINES,103.95422,1.34373,QT,QUEENSTOWN,103.78434,1.28916,622,TMQT,25,72,2.88,47,tampines > queenstown: 622
21362,2/2/18,6:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,552,TSJW,22,66,3,44,tuas > jurong west: 552
21384,2/2/18,6:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,1524,TSPN,30,95,3.17,65,tuas > pioneer: 1524
21419,2/2/18,6:00:00,TS,TUAS,103.63072,1.28389,BL,BOON LAY,103.70223,1.3148,639,TSBL,20,85,4.25,65,tuas > boon lay: 639
22180,2/2/18,6:00:00,WD,WOODLANDS,103.78771,1.44068,CH,CHANGI,103.99782,1.35081,626,WDCH,25,94,3.76,69,woodlands > changi: 626
22240,2/2/18,6:00:00,WD,WOODLANDS,103.78771,1.44068,QT,QUEENSTOWN,103.78434,1.28916,1234,WDQT,23,66,2.87,43,woodlands > queenstown: 1234
22371,2/2/18,6:00:00,WD,WOODLANDS,103.78771,1.44068,KL,KALLANG,103.86643,1.31033,622,WDKL,24,64,2.67,40,woodlands > kallang: 622
22407,2/2/18,6:00:00,WD,WOODLANDS,103.78771,1.44068,PN,PIONEER,103.67299,1.31259,628,WDPN,27,68,2.52,41,woodlands > pioneer: 628
22473,2/2/18,6:00:00,WD,WOODLANDS,103.78771,1.44068,SG,SERANGOON,103.86782,1.3652,651,WDSG,18,57,3.17,39,woodlands > serangoon: 651
22492,2/2/18,6:00:00,WD,WOODLANDS,103.78771,1.44068,TM,TAMPINES,103.95422,1.34373,651,WDTM,25,81,3.24,56,woodlands > tampines: 651
22511,2/2/18,6:00:00,WD,WOODLANDS,103.78771,1.44068,TS,TUAS,103.63072,1.28389,1025,WDTS,32,100,3.13,68,woodlands > tuas: 1025
31,2/2/18,7:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,574,AMHG,14,47,3.36,33,ang mo kio > hougang: 574
183,2/2/18,7:00:00,AM,ANG MO KIO,103.8421,1.38009,BM,BUKIT MERAH,103.82311,1.27548,756,AMBM,18,53,2.94,35,ang mo kio > bukit merah: 756
258,2/2/18,7:00:00,AM,ANG MO KIO,103.8421,1.38009,KL,KALLANG,103.86643,1.31033,512,AMKL,15,47,3.13,32,ang mo kio > kallang: 512
315,2/2/18,7:00:00,AM,ANG MO KIO,103.8421,1.38009,TM,TAMPINES,103.95422,1.34373,506,AMTM,22,67,3.05,45,ang mo kio > tampines: 506
687,2/2/18,7:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,1720,BDCH,10,56,5.6,46,bedok > changi: 1720
735,2/2/18,7:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,892,BDHG,18,49,2.72,31,bedok > hougang: 892
905,2/2/18,7:00:00,BD,BEDOK,103.92841,1.32405,QT,QUEENSTOWN,103.78434,1.28916,1547,BDQT,23,60,2.61,37,bedok > queenstown: 1547
942,2/2/18,7:00:00,BD,BEDOK,103.92841,1.32405,AM,ANG MO KIO,103.8421,1.38009,514,BDAM,22,57,2.59,35,bedok > ang mo kio: 514
1192,2/2/18,7:00:00,BD,BEDOK,103.92841,1.32405,TP,TOA PAYOH,103.86106,1.33668,666,BDTP,15,64,4.27,49,bedok > toa payoh: 666
1499,2/2/18,7:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,778,BKJW,21,71,3.38,50,bukit batok > jurong west: 778
1541,2/2/18,7:00:00,BK,BUKIT BATOK,103.75474,1.35565,PN,PIONEER,103.67299,1.31259,575,BKPN,19,51,2.68,32,bukit batok > pioneer: 575
1575,2/2/18,7:00:00,BK,BUKIT BATOK,103.75474,1.35565,TS,TUAS,103.63072,1.28389,594,BKTS,28,109,3.89,81,bukit batok > tuas: 594
1649,2/2/18,7:00:00,BK,BUKIT BATOK,103.75474,1.35565,BM,BUKIT MERAH,103.82311,1.27548,744,BKBM,20,56,2.8,36,bukit batok > bukit merah: 744
3046,2/2/18,7:00:00,BP,BUKIT PANJANG,103.77304,1.36674,QT,QUEENSTOWN,103.78434,1.28916,934,BPQT,19,55,2.89,36,bukit panjang > queenstown: 934
3085,2/2/18,7:00:00,BP,BUKIT PANJANG,103.77304,1.36674,BM,BUKIT MERAH,103.82311,1.27548,548,BPBM,23,64,2.78,41,bukit panjang > bukit merah: 548
3505,2/2/18,7:00:00,BS,BISHAN,103.84042,1.35496,BM,BUKIT MERAH,103.82311,1.27548,508,BSBM,17,50,2.94,33,bishan > bukit merah: 508
4897,2/2/18,7:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,655,CHTM,6,38,6.33,32,changi > tampines: 655
5313,2/2/18,7:00:00,CK,CHOA CHU KANG,103.74719,1.38555,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,740,CKWC,15,58,3.87,43,choa chu kang > western water catchment: 740
5448,2/2/18,7:00:00,CK,CHOA CHU KANG,103.74719,1.38555,TS,TUAS,103.63072,1.28389,999,CKTS,23,90,3.91,67,choa chu kang > tuas: 999
7306,2/2/18,7:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,780,GLTP,12,48,4,36,geylang > toa payoh: 780
7468,2/2/18,7:00:00,GL,GEYLANG,103.88953,1.3209,CH,CHANGI,103.99782,1.35081,594,GLCH,16,71,4.44,55,geylang > changi: 594
7883,2/2/18,7:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,910,HGBD,19,52,2.74,33,hougang > bedok: 910
7931,2/2/18,7:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,803,HGPL,11,54,4.91,43,hougang > paya lebar: 803
8002,2/2/18,7:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,1100,HGAM,15,49,3.27,34,hougang > ang mo kio: 1100
8084,2/2/18,7:00:00,HG,HOUGANG,103.8898,1.36364,CH,CHANGI,103.99782,1.35081,533,HGCH,17,69,4.06,52,hougang > changi: 533
8104,2/2/18,7:00:00,HG,HOUGANG,103.8898,1.36364,TM,TAMPINES,103.95422,1.34373,917,HGTM,17,57,3.35,40,hougang > tampines: 917
8652,2/2/18,7:00:00,JE,JURONG EAST,103.73479,1.32044,BL,BOON LAY,103.70223,1.3148,811,JEBL,13,46,3.54,33,jurong east > boon lay: 811
8714,2/2/18,7:00:00,JE,JURONG EAST,103.73479,1.32044,TS,TUAS,103.63072,1.28389,1154,JETS,24,72,3,48,jurong east > tuas: 1154
9198,2/2/18,7:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,786,JWBK,17,57,3.35,40,jurong west > bukit batok: 786
9314,2/2/18,7:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,3661,JWPN,21,54,2.57,33,jurong west > pioneer: 3661
9336,2/2/18,7:00:00,JW,JURONG WEST,103.70487,1.3416,TS,TUAS,103.63072,1.28389,3576,JWTS,20,60,3,40,jurong west > tuas: 3576
9357,2/2/18,7:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,2168,JWQT,16,48,3,32,jurong west > queenstown: 2168
10130,2/2/18,7:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,590,KLTP,10,43,4.3,33,kallang > toa payoh: 590
13659,2/2/18,7:00:00,PG,PUNGGOL,103.91004,1.40536,TM,TAMPINES,103.95422,1.34373,844,PGTM,12,46,3.83,34,punggol > tampines: 844
13695,2/2/18,7:00:00,PG,PUNGGOL,103.91004,1.40536,BM,BUKIT MERAH,103.82311,1.27548,738,PGBM,24,66,2.75,42,punggol > bukit merah: 738
13725,2/2/18,7:00:00,PG,PUNGGOL,103.91004,1.40536,DT,DOWNTOWN CORE,103.8543,1.28508,1382,PGDT,20,57,2.85,37,punggol > downtown core: 1382
13774,2/2/18,7:00:00,PG,PUNGGOL,103.91004,1.40536,KL,KALLANG,103.86643,1.31033,531,PGKL,17,53,3.12,36,punggol > kallang: 531
14015,2/2/18,7:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,547,PLHG,9,53,5.89,44,paya lebar > hougang: 547
14240,2/2/18,7:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,637,PNTS,29,99,3.41,70,pioneer > tuas: 637
14546,2/2/18,7:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,1466,PRCH,6,50,8.33,44,pasir ris > changi: 1466
17287,2/2/18,7:00:00,SE,SENGKANG,103.8877,1.39127,BD,BEDOK,103.92841,1.32405,662,SEBD,20,57,2.85,37,sengkang > bedok: 662
17325,2/2/18,7:00:00,SE,SENGKANG,103.8877,1.39127,CH,CHANGI,103.99782,1.35081,726,SECH,17,71,4.18,54,sengkang > changi: 726
17362,2/2/18,7:00:00,SE,SENGKANG,103.8877,1.39127,TM,TAMPINES,103.95422,1.34373,1025,SETM,17,55,3.24,38,sengkang > tampines: 1025
17530,2/2/18,7:00:00,SE,SENGKANG,103.8877,1.39127,TP,TOA PAYOH,103.86106,1.33668,636,SETP,18,60,3.33,42,sengkang > toa payoh: 636
17852,2/2/18,7:00:00,SG,SERANGOON,103.86782,1.3652,BM,BUKIT MERAH,103.82311,1.27548,605,SGBM,15,55,3.67,40,serangoon > bukit merah: 605
17905,2/2/18,7:00:00,SG,SERANGOON,103.86782,1.3652,DT,DOWNTOWN CORE,103.8543,1.28508,1314,SGDT,15,50,3.33,35,serangoon > downtown core: 1314
18281,2/2/18,7:00:00,SG,SERANGOON,103.86782,1.3652,WD,WOODLANDS,103.78771,1.44068,543,SGWD,19,57,3,38,serangoon > woodlands: 543
19548,2/2/18,7:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,2384,TMCH,10,56,5.6,46,tampines > changi: 2384
19594,2/2/18,7:00:00,TM,TAMPINES,103.95422,1.34373,HG,HOUGANG,103.8898,1.36364,510,TMHG,18,55,3.06,37,tampines > hougang: 510
19618,2/2/18,7:00:00,TM,TAMPINES,103.95422,1.34373,PL,PAYA LEBAR,103.91477,1.35939,647,TMPL,14,61,4.36,47,tampines > paya lebar: 647
19702,2/2/18,7:00:00,TM,TAMPINES,103.95422,1.34373,BM,BUKIT MERAH,103.82311,1.27548,1127,TMBM,19,60,3.16,41,tampines > bukit merah: 1127
19740,2/2/18,7:00:00,TM,TAMPINES,103.95422,1.34373,QT,QUEENSTOWN,103.78434,1.28916,1061,TMQT,25,72,2.88,47,tampines > queenstown: 1061
19993,2/2/18,7:00:00,TM,TAMPINES,103.95422,1.34373,TP,TOA PAYOH,103.86106,1.33668,558,TMTP,14,70,5,56,tampines > toa payoh: 558
20337,2/2/18,7:00:00,TN,TANGLIN,103.8175,1.30828,DT,DOWNTOWN CORE,103.8543,1.28508,737,TNDT,14,45,3.21,31,tanglin > downtown core: 737
20730,2/2/18,7:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,968,TPGL,12,46,3.83,34,toa payoh > geylang: 968
20919,2/2/18,7:00:00,TP,TOA PAYOH,103.86106,1.33668,BM,BUKIT MERAH,103.82311,1.27548,595,TPBM,15,56,3.73,41,toa payoh > bukit merah: 595
21363,2/2/18,7:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,525,TSJW,22,66,3,44,tuas > jurong west: 525
21385,2/2/18,7:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,737,TSPN,30,95,3.17,65,tuas > pioneer: 737
22241,2/2/18,7:00:00,WD,WOODLANDS,103.78771,1.44068,QT,QUEENSTOWN,103.78434,1.28916,1276,WDQT,23,66,2.87,43,woodlands > queenstown: 1276
22372,2/2/18,7:00:00,WD,WOODLANDS,103.78771,1.44068,KL,KALLANG,103.86643,1.31033,647,WDKL,24,64,2.67,40,woodlands > kallang: 647
22408,2/2/18,7:00:00,WD,WOODLANDS,103.78771,1.44068,PN,PIONEER,103.67299,1.31259,505,WDPN,27,68,2.52,41,woodlands > pioneer: 505
22474,2/2/18,7:00:00,WD,WOODLANDS,103.78771,1.44068,SG,SERANGOON,103.86782,1.3652,614,WDSG,18,57,3.17,39,woodlands > serangoon: 614
22493,2/2/18,7:00:00,WD,WOODLANDS,103.78771,1.44068,TM,TAMPINES,103.95422,1.34373,603,WDTM,25,81,3.24,56,woodlands > tampines: 603
22512,2/2/18,7:00:00,WD,WOODLANDS,103.78771,1.44068,TS,TUAS,103.63072,1.28389,598,WDTS,32,100,3.13,68,woodlands > tuas: 598
23072,2/2/18,7:00:00,YS,YISHUN,103.83756,1.41544,TM,TAMPINES,103.95422,1.34373,621,YSTM,23,63,2.74,40,yishun > tampines: 621
32,2/2/18,8:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,602,AMHG,14,47,3.36,33,ang mo kio > hougang: 602
184,2/2/18,8:00:00,AM,ANG MO KIO,103.8421,1.38009,BM,BUKIT MERAH,103.82311,1.27548,593,AMBM,18,53,2.94,35,ang mo kio > bukit merah: 593
688,2/2/18,8:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,1127,BDCH,10,56,5.6,46,bedok > changi: 1127
736,2/2/18,8:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,711,BDHG,18,49,2.72,31,bedok > hougang: 711
906,2/2/18,8:00:00,BD,BEDOK,103.92841,1.32405,QT,QUEENSTOWN,103.78434,1.28916,1176,BDQT,23,60,2.61,37,bedok > queenstown: 1176
1193,2/2/18,8:00:00,BD,BEDOK,103.92841,1.32405,TP,TOA PAYOH,103.86106,1.33668,594,BDTP,15,64,4.27,49,bedok > toa payoh: 594
1500,2/2/18,8:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,657,BKJW,21,71,3.38,50,bukit batok > jurong west: 657
1650,2/2/18,8:00:00,BK,BUKIT BATOK,103.75474,1.35565,BM,BUKIT MERAH,103.82311,1.27548,645,BKBM,20,56,2.8,36,bukit batok > bukit merah: 645
3047,2/2/18,8:00:00,BP,BUKIT PANJANG,103.77304,1.36674,QT,QUEENSTOWN,103.78434,1.28916,718,BPQT,19,55,2.89,36,bukit panjang > queenstown: 718
4898,2/2/18,8:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,647,CHTM,6,38,6.33,32,changi > tampines: 647
5314,2/2/18,8:00:00,CK,CHOA CHU KANG,103.74719,1.38555,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,554,CKWC,15,58,3.87,43,choa chu kang > western water catchment: 554
7307,2/2/18,8:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,795,GLTP,12,48,4,36,geylang > toa payoh: 795
7884,2/2/18,8:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,873,HGBD,19,52,2.74,33,hougang > bedok: 873
7932,2/2/18,8:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,691,HGPL,11,54,4.91,43,hougang > paya lebar: 691
8003,2/2/18,8:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,1011,HGAM,15,49,3.27,34,hougang > ang mo kio: 1011
8105,2/2/18,8:00:00,HG,HOUGANG,103.8898,1.36364,TM,TAMPINES,103.95422,1.34373,871,HGTM,17,57,3.35,40,hougang > tampines: 871
8653,2/2/18,8:00:00,JE,JURONG EAST,103.73479,1.32044,BL,BOON LAY,103.70223,1.3148,543,JEBL,13,46,3.54,33,jurong east > boon lay: 543
9199,2/2/18,8:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,698,JWBK,17,57,3.35,40,jurong west > bukit batok: 698
9315,2/2/18,8:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,1516,JWPN,21,54,2.57,33,jurong west > pioneer: 1516
9337,2/2/18,8:00:00,JW,JURONG WEST,103.70487,1.3416,TS,TUAS,103.63072,1.28389,1260,JWTS,20,60,3,40,jurong west > tuas: 1260
9358,2/2/18,8:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,1935,JWQT,16,48,3,32,jurong west > queenstown: 1935
10131,2/2/18,8:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,651,KLTP,10,43,4.3,33,kallang > toa payoh: 651
13660,2/2/18,8:00:00,PG,PUNGGOL,103.91004,1.40536,TM,TAMPINES,103.95422,1.34373,778,PGTM,12,46,3.83,34,punggol > tampines: 778
13726,2/2/18,8:00:00,PG,PUNGGOL,103.91004,1.40536,DT,DOWNTOWN CORE,103.8543,1.28508,1769,PGDT,20,57,2.85,37,punggol > downtown core: 1769
14016,2/2/18,8:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,516,PLHG,9,53,5.89,44,paya lebar > hougang: 516
14241,2/2/18,8:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,695,PNTS,29,99,3.41,70,pioneer > tuas: 695
14547,2/2/18,8:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,1083,PRCH,6,50,8.33,44,pasir ris > changi: 1083
17363,2/2/18,8:00:00,SE,SENGKANG,103.8877,1.39127,TM,TAMPINES,103.95422,1.34373,1077,SETM,17,55,3.24,38,sengkang > tampines: 1077
17531,2/2/18,8:00:00,SE,SENGKANG,103.8877,1.39127,TP,TOA PAYOH,103.86106,1.33668,518,SETP,18,60,3.33,42,sengkang > toa payoh: 518
17853,2/2/18,8:00:00,SG,SERANGOON,103.86782,1.3652,BM,BUKIT MERAH,103.82311,1.27548,518,SGBM,15,55,3.67,40,serangoon > bukit merah: 518
17906,2/2/18,8:00:00,SG,SERANGOON,103.86782,1.3652,DT,DOWNTOWN CORE,103.8543,1.28508,1785,SGDT,15,50,3.33,35,serangoon > downtown core: 1785
19549,2/2/18,8:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,1635,TMCH,10,56,5.6,46,tampines > changi: 1635
19703,2/2/18,8:00:00,TM,TAMPINES,103.95422,1.34373,BM,BUKIT MERAH,103.82311,1.27548,803,TMBM,19,60,3.16,41,tampines > bukit merah: 803
19741,2/2/18,8:00:00,TM,TAMPINES,103.95422,1.34373,QT,QUEENSTOWN,103.78434,1.28916,906,TMQT,25,72,2.88,47,tampines > queenstown: 906
19994,2/2/18,8:00:00,TM,TAMPINES,103.95422,1.34373,TP,TOA PAYOH,103.86106,1.33668,518,TMTP,14,70,5,56,tampines > toa payoh: 518
20338,2/2/18,8:00:00,TN,TANGLIN,103.8175,1.30828,DT,DOWNTOWN CORE,103.8543,1.28508,1270,TNDT,14,45,3.21,31,tanglin > downtown core: 1270
20731,2/2/18,8:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,1239,TPGL,12,46,3.83,34,toa payoh > geylang: 1239
20920,2/2/18,8:00:00,TP,TOA PAYOH,103.86106,1.33668,BM,BUKIT MERAH,103.82311,1.27548,609,TPBM,15,56,3.73,41,toa payoh > bukit merah: 609
21386,2/2/18,8:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,516,TSPN,30,95,3.17,65,tuas > pioneer: 516
22242,2/2/18,8:00:00,WD,WOODLANDS,103.78771,1.44068,QT,QUEENSTOWN,103.78434,1.28916,828,WDQT,23,66,2.87,43,woodlands > queenstown: 828
689,2/2/18,9:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,501,BDCH,10,56,5.6,46,bedok > changi: 501
737,2/2/18,9:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,516,BDHG,18,49,2.72,31,bedok > hougang: 516
907,2/2/18,9:00:00,BD,BEDOK,103.92841,1.32405,QT,QUEENSTOWN,103.78434,1.28916,551,BDQT,23,60,2.61,37,bedok > queenstown: 551
1501,2/2/18,9:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,509,BKJW,21,71,3.38,50,bukit batok > jurong west: 509
4899,2/2/18,9:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,616,CHTM,6,38,6.33,32,changi > tampines: 616
7308,2/2/18,9:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,687,GLTP,12,48,4,36,geylang > toa payoh: 687
7885,2/2/18,9:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,591,HGBD,19,52,2.74,33,hougang > bedok: 591
